,Place of interest,Type of place,Place address,BiciMAD station,Station location
0,Colegio Público Adolfo Suárez,Colegio Público,Calle Infanta Catalina Micaela 31,Manuel Caldeiro,Paseo de la Castellana 298
1,Colegio Público Agustina Díez,Colegio Público,Calle Vesubio 5,Sierra Toledana,Camino de Valderribas 94
2,Colegio Público Agustín Rodriguez Sahagún,Colegio Público,Calle La Granja De San Ildefonso 17,Pavones,Calle Hacienda de Pavones 342
3,Colegio Público Alberto Alcocer,Colegio Público,Avenida Canillejas A Vicalvaro 56,Gutierre de Cetina,Calle Gutierre de Cetina 77
4,Colegio Público Alcalde de Móstoles,Colegio Público,Calle Aldeanueva De La Vera 9,Caramuel,Calle Caramuel 51
5,Colegio Público Alfonso X El Sabio,Colegio Público,Calle Fuente De San Pedro 6,Pavones,Calle Hacienda de Pavones 342
6,Colegio Público Alfredo di Stefano,Colegio Público,Calle Felix Candela 4,Gutierre de Cetina,Calle Gutierre de Cetina 77
7,Colegio Público Alhambra,Colegio Público,Calle Ramon Gomez De La Serna 103,Facultad Derecho,Avenida Complutense 23
8,Colegio Público Amadeo Vives,Colegio Público,Calle Los Yebenes 6,Caramuel,Calle Caramuel 51
9,Colegio Público Amador de los Ríos,Colegio Público,Paseo Marques De Zafra 16,Marqués de Zafra,Paseo Marqués de Zafra 24
10,Colegio Público Amós Acero,Colegio Público,Calle Rodriguez Espinosa 54,Concordia,Calle Arroyo del Olivar 6
11,Colegio Público Angel Nieto,Colegio Público,Avenida Las Suertes 109,Pavones,Calle Hacienda de Pavones 342
12,Colegio Público Antonio Fontan,Colegio Público,Avenida Santuario De Valverde 71,Pedro Rico,Calle Pedro Rico 4
13,Colegio Público Antonio Machado,Colegio Público,Calle Allariz 3,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
14,Colegio Público Antonio Moreno Rosales,Colegio Público,Calle Olmo 4,Jesús y María,Calle Lavapiés 34
15,Colegio Público Antonio de Nebrija,Colegio Público,Calle Juan Jose Martinez Seco 77,Embajadores 191,Calle Sodio 1B
16,Colegio Público Aragón,Colegio Público,Avenida Rafael Alberti 2,Pavones,Calle Hacienda de Pavones 342
